Пользователи: lira,alexfisher,alenywka,arkvoronoff,bonap11,crypto.invest,cryptotaofficial,denis-skripnik,d0z4t0r,esperos,forbon21,frodogrodno,iluxa,ingoda,jahspear,kanareechka,kationa,kewie,kotobormot67,krisha25,kudesnikaltay,lilia,liliyafedotova,macneo,olgaxx,osra111,pzdts,senvi,student61,taisa.gallery,tinochka,tusechka,vadimsen,vadimph,verdon,vovalap,vovalop,zaria,zolotova1703,belisey,icotelegraph,romabel,yaroslaw3,vp-golos-radio,guowang,uberfrau,zlata777,volodtarasov,ekaterinataul,nataliaprofi,get999,mirta,lusia1987,koss87,kolibri,connectedmusic,apnigrich,daos,mgaft1,cnmbekb,orenolga,pkrugloff,scorpio92,chigick,shadenataly,mariya-lorenz,viktorsold,serjo101,felicita,semitsvetik,svibor,sunnyfer

Минималка СГ при определённом проценте:

90%: 
85%: 
80%: 
75%: 
70%: 
65%: 
60%: 
55%: 
50%: 
45%: 
40%: 
35%: 
30%: 
25%: 
20%: 
15%: 
10%: 
5%: 

Рейтинг пользователей на момент создания лога:

1. viktorsold: 10372.655, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
2. zaria: 7235.958, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
3. denis-skripnik: 6930.661, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
4. mgaft1: 6821.293, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
5. tinochka: 5714.315, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
6. frodogrodno: 5114.794, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
7. lira: 4339.518, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
8. mirta: 4203.777, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
9. student61: 4184.392, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
10. kudesnikaltay: 4037.859, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
11. ingoda: 3840.79, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
12. vp-golos-radio: 3546.615, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
13. forbon21: 3341.6, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
14. apnigrich: 3152.171, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
15. mariya-lorenz: 2985.758, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
16. kewie: 2837.575, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
17. shadenataly: 2479.131, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
18. pkrugloff: 2419.008, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
19. d0z4t0r: 2156.448, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
20. orenolga: 2084.119, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
21. zlata777: 1903.55, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
22. zolotova1703: 1738.731, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
23. volodtarasov: 1646.714, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
24. vadimph: 1328.498, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
25. kationa: 1202.613, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
26. alexfisher: 1083.674, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
27. lilia: 1053.235, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
28. jahspear: 1048.182, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
29. esperos: 1020.678, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
30. olgaxx: 1001.249, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
31. liliyafedotova: 965.157, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
32. krisha25: 944.86, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
33. yaroslaw3: 793.976, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
34. koss87: 774.417, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
35. verdon: 720.125, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
36. romabel: 685.911, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
37. pzdts: 676.074, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
38. belisey: 671.611, последний голос: 14  2018 г. 01:53:45, батарейка: 100%
